gene	oe_lof
RFX3	0.021827000000000003
BIRC6	0.066571
LMNB2	0.0
CLTC	0.045332
COPA	0.040587
COL1A1	0.0461
DHX15	0.022077
DHX9	0.040774
MAP2	0.033266000000000004
ZMYM3	0.022443
AGO2	0.022251
ANK2	0.062573
RALGAPB	0.041206
IPO7	0.033533999999999994
PRPF19	0.0
SCAF4	0.033544
TBL1XR1	0.0
ZCCHC11	0.046618
ZCCHC6	0.041431
ANKRD11	0.046779
PAFAH1B1	0.0
ZEB2	0.022588999999999998
AP2A2	0.022726
SMU1	0.0
NAA25	0.034183
UBA1	0.022675
BAZ1B	0.042263
HNRNPH1	0.0
VPRBP	0.023066
CTIF	0.0
ABCB7	0.0
UTP15	0.0
SETBP1	0.023109
ARID5B	0.023254
RBM10	0.023218
TPR	0.063762
RCOR1	0.0
SUFU	0.0
TRPS1	0.023333
MTA1	0.023416
RUVBL2	0.0
EIF4G3	0.04915
MDM4	0.0
NTRK2	0.023575
ANKHD1	0.056598
ANKHD1-EIF4EBP3	0.056598
RORB	0.0
TIAL1	0.0
NRXN3	0.023512
PTPRD	0.053066999999999996
WAPAL	0.035427999999999994
RBM26	0.035521
RIF1	0.057116999999999994
NLK	0.0
PHIP	0.057366999999999994
LPHN2	0.043795999999999995
DPYSL5	0.0
USP8	0.035998
TIPARP	0.0
ZBTB4	0.0
ISY1	0.0
HNRNPU	0.023985
TLK2	0.036368
TRERF1	0.036206999999999996
DHX30	0.036387
MYCBP2	0.077305
FUBP1	0.024336
TRIM24	0.036616
ZC3H7A	0.036397000000000006
UBXN7	0.0
SLC17A7	0.0
NOTCH2	0.058619000000000004
SMARCC1	0.044983999999999996
RAI1	0.036788
CSE1L	0.037158
EIF4A1	0.0
PIK3CA	0.045187
KIF5C	0.037254
REV3L	0.06690499999999999
AGPS	0.024715
ADAM10	0.0247
MED1	0.037292
SMARCC2	0.045283
MYRF	0.037076
DOT1L	0.045607
CHAF1A	0.02493
PSMD1	0.037612
SRRM2	0.062848
PIAS4	0.0
ACTR3	0.0
DDX3X	0.0
TSC1	0.037521
SON	0.051624
WHSC1	0.045949000000000004
TCEB3	0.025027
STAG1	0.052126
ATRX	0.056500999999999996
VCPIP1	0.02505
EIF4A3	0.0
MAU2	0.025133000000000003
PSMC2	0.0
DAZAP1	0.0
POGZ	0.045859
PRKAR1A	0.0
SF3A3	0.025121
FXR1	0.025167
CDC42BPB	0.060953
XPO7	0.046473
RARB	0.0
RERE	0.046333
ZMYND11	0.025252
RPL4	0.0
SUPT16H	0.046458
ZBTB47	0.0
PRRC2C	0.071353
PPFIA3	0.046834
ATP1A1	0.038449000000000004
KIF11	0.038377999999999995
NCOA2	0.046929000000000005
HIPK1	0.038557999999999995
KIAA0430	0.052813
ARMCX4	0.025809
KMT2C	0.082126
PIK3AP1	0.025644999999999998
SEMA4C	0.025727
CYTH1	0.0
RBM17	0.0
RTF1	0.025638
IPO5	0.047375
NUP98	0.057874
TRAF2	0.0
EIF4B	0.025963999999999997
ADNP	0.025868000000000002
RET	0.039068
TEAD1	0.0
CCDC22	0.0
SHANK3	0.039226
CACNA1E	0.068996
PRMT5	0.026112
JADE3	0.0
WDR5	0.0
CUL4A	0.02609
PCLO	0.080854
ZNF219	0.0
GAPVD1	0.054558
EPC1	0.039853
KCNB1	0.0
NLGN2	0.0
PCDH19	0.0
DDX17	0.026525
RB1	0.048569
WNK1	0.067205
ZC3H18	0.039887
CDK12	0.048648000000000004
HECTD4	0.08469199999999999
RALGPS1	0.026813
TNRC6C	0.055577999999999995
SCN2A	0.060487
SOBP	0.0
VCP	0.026683
TLN1	0.075712
BTAF1	0.068134
EPHA7	0.040592
COL4A1	0.065014
SIK3	0.049592000000000004
KAT6B	0.060836
KAT7	0.026879000000000004
ZFR	0.049339999999999995
GSE1	0.040688999999999996
GSK3A	0.0
L1CAM	0.040841
CTNNB1	0.027239999999999997
PBRM1	0.061482
PRICKLE1	0.027138
PUM1	0.049979
AHCTF1	0.071387
TNPO2	0.041138
AAK1	0.041108
RASA1	0.04992
CDC5L	0.040964
FERMT2	0.027445999999999998
WTAP	0.0
UBR3	0.06603200000000001
SCN8A	0.061953999999999995
FNIP2	0.041279
MSN	0.0
PPP1R12A	0.050147000000000004
RANBP9	0.027369
USP47	0.05670599999999999
CCDC88A	0.069474
MLLT3	0.0
EIF3A	0.066251
YTHDC2	0.062394000000000005
KSR2	0.041703
ZMYND8	0.050672
CCNA2	0.0
PTPN6	0.0279
SCML2	0.0
SNRK	0.0
MINK1	0.062681
IRF6	0.0
ZRSR2	0.0
RFX7	0.041992
CSTF2	0.0
NR4A2	0.0
TULP4	0.051297
MAP1B	0.063238
USP42	0.042339999999999996
ZNF592	0.028117000000000003
NPAS2	0.042405
ZSWIM8	0.063091
IQSEC2	0.028106
U2AF2	0.0
ITPR1	0.080881
COL2A1	0.067873
NPLOC4	0.028252
MAPKAPK2	0.0
DDX42	0.042617
CACNA1A	0.07669
SUZ12	0.028213
PHF12	0.042754
DACH1	0.0
PORCN	0.0
CTR9	0.058954
RBM5	0.052212
NRBP1	0.028379
TBX5	0.0
FRMD4A	0.052425
PTPN11	0.028439
DLGAP3	0.028591000000000002
HIRA	0.052563
SETD1A	0.059487
NAA35	0.043358999999999995
ELMSAN1	0.043188
CACTIN	0.028772000000000002
ARHGEF6	0.028593
FAM120C	0.028743
RBM6	0.059555
KIF1A	0.072632
MECOM	0.043345999999999996
MBD5	0.043102999999999995
MEIS1	0.0
INTS6	0.04324
ZFHX3	0.08012799999999999
JPH4	0.0
SMARCA1	0.043443999999999997
HEATR1	0.075658
BAI3	0.069944
SLC12A5	0.05329299999999999
TAF3	0.029185000000000003
SHOC2	0.0
PSMC1	0.0
RBM22	0.0
NFKB1	0.043864999999999994
AFF4	0.053282
RB1CC1	0.065412
SAFB	0.043902
TRAPPC8	0.06576900000000001
ARID4A	0.060714
TRIO	0.088725
YTHDF2	0.0
PPFIA2	0.066311
KDM6B	0.061331
SPTB	0.080201
SOS1	0.066728
BAI1	0.06118
AMBRA1	0.054064
UBE2O	0.054284000000000006
ZNF292	0.074664
BCOR	0.044884
HDAC5	0.05466
PODXL2	0.0
AFTPH	0.029677999999999996
RANBP3	0.029664999999999997
SPAG9	0.06758099999999999
FNBP4	0.055054
AGPAT3	0.0
RANBP2	0.085586
TKTL1	0.0
ZBTB44	0.0
WHSC1L1	0.067444
CNOT4	0.030239999999999996
JAG2	0.062561
TFCP2L1	0.030151
MAOA	0.0
SAMD4B	0.030155
CSNK1E	0.0
DNMT1	0.076163
PHEX	0.030080000000000003
ATXN2L	0.055189999999999996
XPO4	0.062273
ARFGEF1	0.079167
COPS5	0.0
SPOP	0.0
CSDE1	0.045633
API5	0.030306
CUL1	0.055613
DDX46	0.062993
ZFHX4	0.08505399999999999
GNB1	0.0
HOMER1	0.0
ZFPM2	0.046144
AEBP2	0.0
NUP85	0.046109
CBLL1	0.0
RNF38	0.030650999999999998
BAZ2A	0.077856
JAG1	0.063704
ASXL2	0.056442
SP3	0.030846
SRRM1	0.056429999999999994
MAML1	0.030681
CCNC	0.0
KIF23	0.063665
EZH2	0.046301
RFX4	0.046817000000000004
XRCC5	0.04655
USP24	0.094237
CHD3	0.08658500000000001
HNRNPA1	0.0
PPP1CB	0.0
FLT4	0.070024
UNC79	0.08876
ZNF217	0.031032
EFHC2	0.0
WBP11	0.031137
ITPKB	0.031173000000000003
CTCF	0.031238
ATP2B2	0.057152
MAOB	0.0
KLHDC3	0.0
PRMT1	0.0
TGFB2	0.0
DIP2C	0.079428
NFIX	0.0
FBXL17	0.0
WAS	0.0
GCM1	0.0
YBX2	0.0
TLE4	0.047513
SLC6A1	0.031589
EBF3	0.031575
MAPK8IP3	0.071508
AHSA1	0.0
PAN3	0.047671
PKN2	0.058011
ABCD1	0.0
SETD1B	0.065972
CLCN4	0.0
ARHGEF9	0.0
B4GALT5	0.0
MSL1	0.0
SERPINC1	0.0
KALRN	0.08449
CASZ1	0.066338
MARCH6	0.066419
SFPQ	0.031943
BCORL1	0.048329000000000004
CMIP	0.048205
PPRC1	0.066231
DDX26B	0.032135000000000004
C11orf30	0.066802
EFEMP1	0.032236
MAPKAP1	0.032277
ATP1B1	0.0
ELFN1	0.0
SMCHD1	0.087839
FBXW2	0.0
GGA1	0.032168
CAMSAP3	0.059639
AHR	0.048874
DMD	0.10275
PPP1R10	0.059490999999999995
HDLBP	0.067232
ZNF609	0.059613
ARHGAP42	0.060016999999999994
OCRL	0.049158
RICTOR	0.089025
ZNF541	0.059827
FASN	0.091093
ATAD2B	0.07371
PCIF1	0.049269
DENND5B	0.067576
HOOK3	0.060036
ARHGEF2	0.06815700000000001
XPR1	0.049451999999999996
INTS10	0.049703
USP3	0.032964999999999994
MARK2	0.049568
IKZF1	0.0
CDH11	0.032824
KDM4A	0.068127
RREB1	0.060455999999999996
CHD4	0.092235
HIPK2	0.060345
NR2E1	0.0
KPNA4	0.032852
CHD5	0.089818
PLXND1	0.083467
RXRA	0.0
LRRC7	0.07978400000000001
ZFC3H1	0.092805
UBE4B	0.074661
DOCK3	0.095432
DMXL2	0.10244
PELP1	0.050088
TXLNG	0.0
UNC13A	0.09082799999999999
MAT2A	0.0
HECTD1	0.10096000000000001
KCNQ2	0.050283999999999995
TANC2	0.087423
PPP3CA	0.033252
LARP4B	0.050289
EPC2	0.050553
ROBO2	0.08051799999999999
MAST1	0.075424
POLR2A	0.08455900000000001
GRIPAP1	0.050591000000000004
PSMD11	0.033512
TNRC6A	0.09102400000000001
ESPL1	0.090935
CUL5	0.061498000000000004
FBRS	0.033412
SAP130	0.061702
ALG13	0.050979000000000003
SMAD5	0.0
GNB2L1	0.0
SLIT2	0.08523700000000001
PPM1A	0.0
PPP4R2	0.0
GSPT1	0.033726
PIP4K2B	0.0
ZFX	0.0
KANSL3	0.050861
RORC	0.033914
ZNF800	0.033958999999999996
DPF2	0.033975
APC	0.09717999999999999
FKBP8	0.0
OPHN1	0.033915
USP48	0.076433
KDM6A	0.070167
CAPZA2	0.0
NPM1	0.0
PSMD12	0.034078
ZNF131	0.034229
GPC3	0.0
GRAMD4	0.05151
KIF2A	0.051499
FGD5	0.070985
CKAP5	0.095249
UPF1	0.071
UTP14A	0.034238
CHD1	0.092848
ZBTB2	0.0
CPSF6	0.034391000000000005
FAM120A	0.062966
WDR43	0.051910000000000005
CUX1	0.082514
ZNF865	0.0
MAPK8IP1	0.034273000000000005
CDK19	0.034454000000000005
NFKB2	0.06288099999999999
KDM5A	0.090209
TEX10	0.063048
KIAA0947	0.08729400000000001
MDM2	0.034611
CASKIN1	0.06326699999999999
MYC	0.0
CLK2	0.052046
PAX5	0.0
ZNF608	0.063872
DSCAML1	0.091288
CCNJ	0.0
CCNK	0.034844
TLK1	0.063831
LARP1	0.07197100000000001
ARIH1	0.05279
LRRC4	0.0
RBFOX3	0.0
ZNF629	0.035048
KDM5C	0.072601
PHF6	0.0
DICER1	0.091986
GRIN2D	0.052926999999999995
RPL5	0.0
PHF23	0.0
SIPA1L1	0.088969
MYH10	0.10329
GABBR2	0.064595
CECR2	0.08468400000000001
F9	0.0
PAK7	0.035233999999999994
USP11	0.053185
PPP1R9B	0.035502
SFSWAP	0.06489
HNF1B	0.035393
NOP2	0.053219
TMEM63B	0.065089
STAU1	0.035338999999999995
ARPC2	0.0
CSK	0.035312
SOX9	0.0
NCOR2	0.10232000000000001
ANK1	0.096997
ZNF236	0.09388300000000001
ABCA2	0.10405
PPP1R16B	0.035676
RC3H2	0.080322
PAX6	0.035552999999999994
CENPI	0.035647000000000005
ZNF638	0.093445
NACC1	0.0
PDGFRA	0.074
CADM4	0.0
ACVR2A	0.035913
TRIM9	0.035768
DYRK2	0.0
TRPC5	0.035801
C7orf60	0.0
MKL2	0.06573899999999999
GPATCH8	0.074428
ESCO1	0.05388099999999999
GRID2	0.074416
WEE1	0.0358
MBTPS2	0.0
PRPF4B	0.074446
ZNF654	0.0
CHD9	0.11019000000000001
KIF1B	0.10332000000000001
RNF2	0.0
DAGLA	0.066036
MNT	0.0
PRKCD	0.054411
KDM4B	0.074715
CELF1	0.036
ANKRD28	0.074738
MEN1	0.036021
SYVN1	0.03615
FZR1	0.036261
ZFP91	0.036209
ARMC8	0.066471
CAMTA1	0.09134400000000001
LIN54	0.054796000000000004
TRIM71	0.036284
NKAP	0.0
TFAP4	0.0
ACVR1B	0.036324
PSMD4	0.0
FBLN5	0.036177999999999995
EEF2	0.054534000000000006
ISY1-RAB43	0.03621
CFLAR	0.036503
OTUD5	0.0
HIVEP1	0.09568099999999999
GTF3C1	0.1043
ENAH	0.054844000000000004
FOXO1	0.0
TNRC6B	0.099192
EEF1G	0.036525999999999996
TENM4	0.10454000000000001
KLF4	0.0
SEC24C	0.076008
CTDSPL2	0.036587
JADE2	0.05532
PCGF1	0.0
TTC28	0.10228999999999999
GATA6	0.0
SCN3A	0.096275
PSME3	0.0
TET1	0.09247899999999999
NUP153	0.082553
CELF2	0.036763
DDX6	0.036784
BAG6	0.07611799999999999
EPHA4	0.076659
MKLN1	0.067816
ZMYM4	0.09676799999999999
PPP2R5D	0.055747000000000005
ANAPC2	0.055487
FOXP1	0.06776499999999999
TDRD1	0.08317999999999999
MAP4K4	0.093011
MAPK1	0.0
NCDN	0.036860000000000004
BSN	0.10985
ADRM1	0.0
NCOR1	0.11365
CNOT7	0.0
MTM1	0.037153
BAZ1A	0.09756000000000001
ABL1	0.068016
JAKMIP2	0.077004
ZNF516	0.055946
PTBP1	0.037138
CLASP1	0.10107999999999999
HTT	0.11982999999999999
RELN	0.12412999999999999
BRPF1	0.076842
R3HDM2	0.077055
MYO9B	0.10411
PHF2	0.077138
PAPOLA	0.068562
ZZZ3	0.06854
EIF4ENIF1	0.07735299999999999
PSME4	0.11149
NCL	0.056129
GLA	0.0
GPHN	0.06832300000000001
BRPF3	0.068357
MSL3	0.0
PRPF8	0.11398
KDM2B	0.09038500000000001
AKT3	0.037422000000000004
HIC2	0.0
PNISR	0.06878
DPP10	0.07782599999999999
MGAT5	0.068872
NKRF	0.0
ADRBK1	0.0687
ZER1	0.056425
EXOC5	0.056495000000000004
SF3B3	0.090365
SYMPK	0.08509299999999999
SPPL3	0.0
PKD1	0.12050999999999999
TEK	0.085371
G3BP2	0.037735000000000005
ZBTB18	0.0
PTPN2	0.037813
ARHGEF12	0.10539000000000001
LAS1L	0.037645
PLK2	0.057079
PITPNM2	0.08551
IDS	0.0
DST	0.13701
DNM2	0.069552
PDS5B	0.09979299999999999
PTPRT	0.099575
RPL7	0.0
TOX3	0.038082
CENPB	0.0
SERBP1	0.038056
ZRANB2	0.038143
HCN1	0.057498
RELA	0.03818
COPS3	0.038109
TFDP2	0.038062
WDR7	0.10052
TNIK	0.10345
ZDHHC17	0.057458
NOL6	0.08632999999999999
NOVA1	0.0
LMTK3	0.070594
ATP5A1	0.038388
SLC7A3	0.0
MLLT10	0.08672200000000001
MLLT6	0.070559
RP11-152F13.10	0.0
ATP2C1	0.08672
RNF8	0.038544999999999996
SET	0.0
UBE3C	0.087141
SYCP2	0.10471
CIC	0.080123
ACAN	0.097582
SF1	0.038556
EPHB2	0.071037
CSNK2A2	0.038742
FAT4	0.12097000000000001
NAP1L1	0.038693
MED12L	0.11978
ALAS2	0.0
CEP350	0.12242
DDX21	0.071063
MEIS2	0.038881
MTF2	0.058380999999999995
MAP3K4	0.10564000000000001
SHANK1	0.097941
KLHL2	0.058822
MTOR	0.12599000000000002
PACS1	0.08097599999999999
GLUL	0.0
NAV3	0.11405
NCAM1	0.08100299999999999
SARNP	0.0
WWC3	0.071408
LRRC41	0.058664999999999995
CTNND1	0.08064
LPHN3	0.093542
CNKSR2	0.07167000000000001
FXR2	0.071457
SYK	0.058627
PTPN12	0.071888
PAPD7	0.039126999999999995
PARP6	0.071949
EEF1A2	0.0
HNRNPUL1	0.08125399999999999
ZC3H11A	0.07182000000000001
PRRC2A	0.11713
XKR6	0.03918
ARID4B	0.094988
EIF3D	0.059533
NDST1	0.072234
PTPRF	0.11017
LPHN1	0.099642
ARHGEF7	0.07233099999999999
GPKOW	0.0
EED	0.039445
ZNF423	0.072199
CUX2	0.094949
NFATC2	0.07252
STAT1	0.081756
TMEM108	0.0
DIDO1	0.10344
PHF20L1	0.088879
PRDM16	0.081747
DLL4	0.059792
SEPT7	0.039718
CDC73	0.072753
JARID2	0.089409
SNRNP70	0.039649000000000004
PRRC2B	0.11824000000000001
SOX5	0.072808
GRIN2A	0.08196
PLAG1	0.0
ASAP1	0.095039
CCT5	0.039525
CNOT2	0.060025
ELAVL2	0.0
SUGP2	0.073157
RSPRY1	0.059976
USP37	0.090067
NRF1	0.039864
NFKBIZ	0.060173000000000004
RBBP5	0.060144
DSCAM	0.11397
TTC7B	0.08254500000000001
PRKD2	0.073073
PAXBP1	0.09018
UNK	0.07345800000000001
KIAA2018	0.10097
AP2M1	0.040027999999999994
NOS1	0.10519
CBX2	0.0
PPARD	0.0
YAP1	0.040080000000000005
ESR1	0.039964
THRAP3	0.08315399999999999
UBE2Q1	0.040039
RNF31	0.09651599999999999
NYAP1	0.040116000000000006
SCARF2	0.0604
C20orf112	0.0
DOCK9	0.12243
COL4A5	0.09686
NR2F1	0.0
WNK3	0.090691
DKC1	0.040178
SENP5	0.060746
LGI1	0.040264
BMPR2	0.083459
SMARCE1	0.040213
FURIN	0.073795
SPTBN4	0.12022000000000001
RPL7A	0.0
TENM2	0.12005
ASIC2	0.040373
ACTR3B	0.04043
ARHGAP31	0.091226
SNX27	0.061002
AJAP1	0.0
PTPRA	0.083788
GRIK3	0.083968
MAP1A	0.11025
CEP170	0.097041
GDI1	0.0
XKR4	0.040379000000000005
HPN	0.040409
TNS3	0.097174
MTPAP	0.040733
VDAC3	0.0
SNAP91	0.074662
EBF2	0.06125800000000001
TAF5L	0.040754000000000005
ZBTB16	0.040622000000000005
AGO3	0.08431799999999999
PPME1	0.040772
GRIA3	0.061265
NFKBIA	0.0
TENM1	0.11355
CYBB	0.040752
SCAF11	0.097605
TBX18	0.040708
SEC24B	0.09820599999999999
ZNF280C	0.040994
ATN1	0.07496699999999999
EXOC8	0.040826999999999995
BHLHE40	0.0
SH3KBP1	0.040974000000000003
SKI	0.040872000000000006
DCUN1D5	0.0
SOGA1	0.098466
CHM	0.040999
RBFOX2	0.04085
RAE1	0.040844
RUVBL1	0.040857
SMEK1	0.075152
TBR1	0.0409
PSMD13	0.04088
GLI3	0.09287100000000001
SGIP1	0.085172
FOXP3	0.0
KIAA0232	0.092713
WDR44	0.062078999999999995
CACNG3	0.0
SIN3B	0.092676
ATRN	0.11145999999999999
KLHL15	0.0
ACTR2	0.041109
GLYR1	0.06191699999999999
CLIP2	0.08565
PDS5A	0.10409000000000002
PIK3CD	0.093265
ROCK1	0.11549000000000001
SALL1	0.062296000000000004
ATXN7L3	0.041283999999999994
FGD1	0.062403
LINGO1	0.0
TNFAIP3	0.062105999999999995
NUFIP2	0.041312
RIC8B	0.041296
IL1RAPL1	0.041527999999999995
POU2F2	0.041629
COPS4	0.041526
DNAJC13	0.13129000000000002
XRN1	0.12170999999999998
ANKRD12	0.11285999999999999
PACSIN1	0.041505
RAPGEF2	0.10939000000000002
ETS2	0.041457
HCFC2	0.07658
PAIP1	0.041634
LAMC1	0.11325
SSBP3	0.06274099999999999
NEDD4L	0.1056
KIAA0368	0.1286
PDGFC	0.0
KIAA2022	0.062743
IPO13	0.094362
PSMA5	0.0
YY1	0.0
ASXL3	0.11024
PA2G4	0.041928
DLGAP2	0.076806
MPPED2	0.0
CPSF7	0.042027999999999996
VCAN	0.12503
PAX8	0.042191
PRKCE	0.07728099999999999
KCTD16	0.0
KIF4A	0.095177
DAB2IP	0.087552
SIPA1L3	0.10625
TOX	0.042182
NTNG2	0.042302
CLASP2	0.11878
HERC2	0.15234
DCAF8	0.063873
STIP1	0.077714
ACIN1	0.11112999999999999
HSPA8	0.042414999999999994
RPL6	0.0
SETDB1	0.1071
NFIA	0.06401699999999999
RNF220	0.06425399999999999
JPH3	0.042681000000000004
CACNA1I	0.11932999999999999
RFWD2	0.08813700000000001
STAT5A	0.08816
GATAD2A	0.064323
COL1A2	0.11599000000000001
DMXL1	0.13771
AP1G1	0.095868
OSBPL6	0.10255
USP19	0.10783
SMARCA2	0.12277
ARHGAP21	0.11982000000000001
CAMSAP2	0.10814000000000001
PHF1	0.06446
PRKCG	0.07839700000000001
KIAA1244	0.12515
PDZD8	0.078625
BTBD11	0.08913099999999999
UNC5A	0.078927
CTDSP1	0.0
CELF5	0.043033
RBM14	0.043068
TRAPPC10	0.10865
CYLD	0.089287
FTSJ1	0.0
ATP9A	0.10901
BRSK1	0.079442
NFAT5	0.11775999999999999
ATF7	0.043163
IL21R	0.043318
RBM39	0.079454
EIF4A2	0.043305
MORC2	0.10379000000000001
FBN2	0.14342
ZC3H12B	0.043323
CSNK1G3	0.065455
PDE4D	0.079828
GNAL	0.043491
PITPNM3	0.089903
UBE3A	0.07987000000000001
ZNF512B	0.090214
BHLHE41	0.0
SETD2	0.13162000000000001
SMARCD1	0.065514
RBM27	0.10960999999999999
SLC9A6	0.043371
TOMM40	0.0
RIMS2	0.12172000000000001
ANKIB1	0.098617
CDK1	0.0
FBXO41	0.065808
MAPK8	0.043681
GLG1	0.11835999999999999
PTPRC	0.11450999999999999
RASGRF1	0.11009000000000001
ACHE	0.043552999999999994
HMGCS1	0.043641
QSER1	0.11548
ATAD5	0.11935
SF3B4	0.0
DDI2	0.043781
EP400	0.14673
PAPD5	0.065962
GCN1L1	0.14007999999999998
CORO1C	0.043951
IL2RG	0.0
MBD6	0.06654700000000001
ARHGAP30	0.091543
PPP5C	0.066449
LMNA	0.066263
RAB11A	0.0
SYNCRIP	0.066338
SOX10	0.0
BRAF	0.09958099999999999
SVOP	0.066444
HNRNPR	0.066666
RPGR	0.044187
WNK2	0.12359
MAPRE1	0.0
WDR45	0.0
MEPCE	0.044194
BRINP2	0.066564
C11orf84	0.0
NPAS3	0.081486
USP15	0.10683
ZC3H13	0.135
DGCR8	0.08167200000000001
CACNA1G	0.13277
ING3	0.06688200000000001
CSMD1	0.15269000000000002
ERCC6L	0.066998
DNAJA2	0.044407999999999996
TAF5	0.081687
C10orf12	0.08149400000000001
KIF26B	0.11229000000000001
RP11-159G9.5	0.0
UBN1	0.10016
MTSS1	0.082177
ASTN1	0.11285999999999999
NCOA5	0.067459
OTUD4	0.10726
SORT1	0.092693
UCHL1	0.0
LEF1	0.044589
FRY	0.15079
MAP3K7	0.08209
LCK	0.067478
ZNF445	0.08217200000000001
IGF2R	0.14162
BTBD18	0.044773
CHRM1	0.0
ASH2L	0.082591
ACTN1	0.10784
ATF7IP	0.10127
ATP6AP1	0.0
HSP90AB1	0.067674
PDE10A	0.093091
RFX2	0.0823
COPB1	0.10121000000000001
RNF111	0.092972
